Open,High,Low,Close,group_id,year,month,day,weekday,Cluster_Label
0.39399633582999205,0.35025836089368784,0.38014934425297275,0.3408536084210777,0,2013,3,25,0,0
0.3403297073406434,0.3186978059337851,0.35894593571859984,0.3408536084210777,0,2013,3,27,2,0
0.3612000628642793,0.3172298731449526,0.32486902914550114,0.28121364707297064,0,2013,3,28,3,0
0.29188066773220406,0.24897099846423293,0.3377425271842276,0.29165064030888954,0,2013,3,29,4,0
0.25908439476649064,0.21667647710991358,0.2605015389518703,0.2402111736461473,0,2013,4,1,0,0
0.21436220435870038,0.18731782133325994,0.21355113434004513,0.17758921423063453,0,2013,4,3,2,0
0.14057059018584586,0.1843819557555949,0.18401781531002648,0.20740919490468807,0,2013,4,4,3,0
0.19870943771597377,0.163830896711937,0.23248274910287803,0.19920870021932327,0,2013,4,5,4,0
0.24790384716454322,0.20566698119366872,0.27034597862854315,0.2409566731629982,0,2013,4,8,0,0
0.2888991883716843,0.31282607477845437,0.32714082291704116,0.3453266055221859,0,2013,4,9,1,0
0.32020472165713754,0.28273345260738414,0.35137328981346694,0.30954262871332167,0,2013,4,10,2,0
0.29038992805194386,0.29374294852362964,0.3362279980032005,0.3304166151851588,0,2013,4,11,3,0
0.3038065851742815,0.274659822268805,0.23248274910287803,0.21262769152264785,0,2013,4,12,4,0
0.20690850595740212,0.16750072868401863,0.09617512281048335,0.10974875819716268,0,2013,4,15,0,0
-0.053970938088043006,-0.04021176093580534,-0.046947884796531336,-0.0028216688473891643,0,2013,4,18,3,0
-0.027882993683498426,-0.06590058474037737,-0.046947884796531336,-0.08184461763363086,0,2013,4,19,4,0
-0.10092923801622285,-0.13782929139317865,-0.08784017268425001,-0.11091909879083281,0,2013,4,22,0,0
-0.11658200465894947,-0.15324258567592172,-0.16735295468814737,-0.16757706207153486,0,2013,4,23,1,0
-0.06962370473076962,-0.07984594623428792,-0.043918826434478454,-0.07215312391456355,0,2013,4,24,2,0
